filename,activity,X_mean,X_std,X_min,X_max,X_range,Y_mean,Y_std,Y_min,Y_max,Y_range,Z_mean,Z_std,Z_min,Z_max,Z_range,,,,,,,,,,
26_20260907161521.csv,0,0.000144323,0.000872232,-0.00088501,0.001144409,0.002029419,-0.987887065,0.000601475,-0.988616943,-0.986907959,0.001708984,-0.120498657,0.000655812,-0.121109009,-0.119430542,0.001678467,,,,,,,,,,
27_20260907161533.csv,0,0.000206909,0.000507227,-0.000427246,0.000915527,0.001342773,-0.988365479,0.001105052,-0.989715576,-0.986907959,0.002807617,-0.120178223,0.001330201,-0.121200562,-0.118286133,0.002914429,,,,,,,,,,
28_20260907161546.csv,0,-0.000316772,0.000671463,-0.001312256,0.000518799,0.001831055,-0.987997437,0.000526299,-0.988723755,-0.987350464,0.001373291,-0.120812378,0.000697802,-0.121536255,-0.119659424,0.001876831,,,,,,,,,,
29_20260907161558.csv,0,0.000360489,0.000367448,1.53E-05,0.000869751,0.000854492,-0.988125483,0.000360246,-0.988586426,-0.987350464,0.001235962,-0.120653152,0.00021264,-0.120895386,-0.120361328,0.000534058,,,,,,,,,,
30_20260907161610.csv,0,-8.06E-05,0.000715491,-0.001052856,0.000640869,0.001693726,-0.988553467,0.000601815,-0.989532471,-0.987792969,0.001739502,-0.120755615,0.000398599,-0.121246338,-0.120346069,0.000900269,,,,,,,,,,
31_20260907161623.csv,0,0.000484619,0.000528346,-6.10E-05,0.001022339,0.001083374,-0.987505493,0.000469599,-0.98866272,-0.987045288,0.001617432,-0.120570679,0.000793781,-0.121536255,-0.119674683,0.001861572,,,,,,,,,,
32_20260907161635.csv,0,0.000252686,0.000436102,-0.000198364,0.000869751,0.001068115,-0.987866821,0.000857322,-0.989105225,-0.986846924,0.002258301,-0.120910034,0.000666346,-0.121871948,-0.120162964,0.001708984,,,,,,,,,,
33_20260907161647.csv,0,-0.000306447,0.000827871,-0.00151062,0.000854492,0.002365112,-0.987922033,0.00024682,-0.98828125,-0.987579346,0.000701904,-0.120738983,0.000837528,-0.121871948,-0.119400024,0.002471924,,,,,,,,,,
34_20260907161700.csv,0,-0.000192871,0.000553799,-0.000610352,0.000854492,0.001464844,-0.988398438,0.000561901,-0.989471436,-0.987701416,0.00177002,-0.120541382,0.000690562,-0.121322632,-0.119812012,0.00151062,,,,,,,,,,
35_20260907161712.csv,0,0.000124512,0.000492883,-0.000274658,0.000961304,0.001235962,-0.987597656,0.000585412,-0.989471436,-0.987197876,0.00227356,-0.120780029,0.000692275,-0.121261597,-0.119049072,0.002212524,,,,,,,,,,
36_20260907161724.csv,0,0.000184377,0.000990426,-0.001327515,0.001251221,0.002578735,-0.987569809,0.000502056,-0.988052368,-0.98677063,0.001281738,-0.120363871,0.00070826,-0.12097168,-0.119049072,0.001922607,,,,,,,,,,
37_20260907161737.csv,0,-0.000268555,0.000363579,-0.000717163,0.000152588,0.000869751,-0.987999878,0.000626232,-0.988845825,-0.987091064,0.001754761,-0.120223389,0.00132055,-0.122207642,-0.118591309,0.003616333,,,,,,,,,,
38_20260907161749.csv,0,0.000650635,3.41E-05,0.000610352,0.000701904,9.16E-05,-0.987527466,0.000491549,-0.988845825,-0.987045288,0.001800537,-0.120221558,0.000593308,-0.120925903,-0.119384766,0.001541138,,,,,,,,,,
39_20260907161802.csv,0,0.000168457,0.001291957,-0.00151062,0.002227783,0.003738403,-0.987913818,0.000281114,-0.988586426,-0.987564087,0.001022339,-0.120983887,0.000914319,-0.122390747,-0.120147705,0.002243042,,,,,,,,,,
40_20260907161814.csv,0,6.29E-05,0.001121733,-0.001083374,0.002227783,0.003311157,-0.988109589,0.000981074,-0.989212036,-0.986328125,0.002883911,-0.120957057,0.000472208,-0.121368408,-0.119644165,0.001724243,,,,,,,,,,
41_20260907161826.csv,0,0.000255737,0.000465441,-6.10E-05,0.00163269,0.001693726,-0.987595215,0.000496839,-0.988220215,-0.986328125,0.00189209,-0.120945435,0.00067659,-0.121459961,-0.119644165,0.001815796,,,,,,,,,,
42_20260907161839.csv,0,-0.000427246,0.000865558,-0.001525879,0.000579834,0.002105713,-0.987974854,0.000233744,-0.988265991,-0.987701416,0.000564575,-0.120455322,0.000961865,-0.121520996,-0.118988037,0.002532959,,,,,,,,,,
43_20260907161851.csv,0,0.001174291,0.000192615,0.000579834,0.001434326,0.000854492,-0.988285065,0.00035336,-0.988693237,-0.987701416,0.000991821,-0.120861053,0.000632558,-0.121520996,-0.119903564,0.001617432,,,,,,,,,,
44_20260907161903.csv,0,0.000809987,0.000686976,-0.000167847,0.001525879,0.001693726,-0.98800087,0.000897603,-0.989181519,-0.986923218,0.002258301,-0.120560328,0.00055993,-0.121520996,-0.120056152,0.001464844,,,,,,,,,,
